scenario_id,tax_delta,completions_uplift_pct,final_year,price,rent,price_delta_pct,rent_delta_pct
1,0.0,0.0,2024,759893.9518320435,2330.697331164221,0.0,0.0
2,0.0,0.05,2024,751321.6760079206,2280.601437264713,-1.1280884396376312,-2.149395085739614
3,0.0,0.1,2024,742862.8836122752,2231.6788508748837,-2.241242765350049,-4.248448692386663
4,0.0,0.15,2024,734515.8510334713,2183.8998393006696,-3.339689799792145,-6.298436519435313
5,0.0,0.2,2024,726278.8841859206,2137.235480155239,-4.423652480070361,-8.300599499650364
6,0.0,0.25,2024,718150.3179471379,2091.6576377321107,-5.493349931824698,-10.256144812793256
7,0.0,0.3,2024,710128.5156066803,2047.138940112316,-6.548997541746804,-12.166246867853193
8,0.002,0.0,2024,765974.4825129983,2336.942629704994,0.8001814814152963,0.2679583683932618
9,0.002,0.05,2024,757333.6129251955,2286.7124996655625,-0.33693371301024566,-1.88719620134834
10,0.002,0.1,2024,748807.1348392483,2237.6588211114663,-1.4589952934966455,-3.991874397791517
11,0.002,0.15,2024,740393.3108515019,2189.7517816774034,-2.5662318976913956,-6.0473553387737855
12,0.002,0.2,2024,732090.4333206064,2142.962381476587,-3.658868246602709,-8.054883282243154
13,0.002,0.25,2024,723896.8238000763,2097.2624094105527,-4.737125219273164,-10.015668642700327
14,0.002,0.3,2024,715810.8324828144,2052.6244202149855,-5.801219925878886,-11.93088897606166
15,0.004,0.0,2024,772103.6684744343,2343.204663045839,1.6067658668626361,0.5366347536584826
16,0.004,0.05,2024,763393.6562483562,2292.839937169512,0.46055168722889395,-1.6242947331045698
17,0.004,0.1,2024,754798.9508637486,2243.6548151787256,-0.6704884222346164,-3.7346125909028305
18,0.004,0.15,2024,746317.8010145734,2195.6194048234497,-1.7865849286915703,-5.795601365077186
19,0.004,0.2,2024,737948.485395251,2148.704628509274,-2.8879643513261,-7.8085086476689325
20,0.004,0.25,2024,729689.3121286778,2102.882199543735,-3.9748493366139614,-9.77454809658569
21,0.004,0.3,2024,721538.618206307,2058.124599120636,-5.047458732006604,-11.694900423103437
22,0.006,0.0,2024,778281.8990468946,2349.483476029053,2.4198043911942246,0.8060310797819437
23,0.006,0.05,2024,769502.190915955,2298.9837936550216,1.2644184179577689,-1.3606887983759752
24,0.006,0.1,2024,760838.7122904774,2249.6668760138564,0.12432793499095318,-3.476661429473926
25,0.006,0.15,2024,752289.6978507979,2201.502750756742,-1.0006993690254151,-5.543172795540297
26,0.006,0.2,2024,743853.4125177684,2154.462262373419,-2.110891825839978,-7.561473831643751
27,0.006,0.25,2024,735528.1508761988,2108.517048374865,-3.2064738635043333,-9.53278144778984
28,0.006,0.3,2024,727312.2366104539,2063.6395162159406,-4.2876660806468685,-11.458279519069114
29,0.008,0.0,2024,784509.5666762756,2355.7791136170904,3.23934869923439,1.0761492759053581
30,0.008,0.05,2024,775659.6049467499,2305.144113118126,2.0747175414012275,-1.0963765094857192
31,0.008,0.1,2024,766926.8027696649,2255.6950466691083,0.9255042655183399,-3.2180190663215757
32,0.008,0.15,2024,758309.3806995958,2207.401861607803,-0.2085252986456121,-5.2900678225271776
33,0.008,0.2,2024,749805.5897736116,2160.235324299324,-1.3276013099077333,-7.3137770651562235
34,0.008,0.25,2024,741413.7109301065,2114.1669962549863,-2.4319499921512278,-9.290366965026486
35,0.008,0.3,2024,733132.0544398784,2069.1692109931123,-3.521793709193799,-11.221024569521054
36,0.01,0.0,2024,790787.0669487505,2362.0916208928898,4.0654508490594266,1.346991276339904
37,0.01,0.05,2024,781866.2894643531,2311.320939672752,2.8915005283745243,-0.8313559736986553
38,0.01,0.1,2024,773063.6090214383,2261.739370312091,1.7330914606760395,-2.9586836493129876
39,0.01,0.15,2024,764377.2319357888,2213.3167796200505,0.5899876019458405,-5.036284633558019
40,0.01,0.2,2024,755805.3952495974,2166.0238556277727,-0.5380430483212684,-7.06541657445462
41,0.01,0.25,2024,747346.3661456434,2119.832083643261,-1.6512285242103686,-9.047302912370414
42,0.01,0.3,2024,738998.441373826,2074.713723050187,-2.749792968853093,-10.9831338754812
